repo_name,full_name,description,language,created_at,updated_at,pushed_at,size_kb,stargazers_count,watchers_count,forks_count,open_issues_count,is_fork,is_private,default_branch,topics,html_url
Competitive-Programming,henryzhan013/Competitive-Programming,My solutions to competitive programming problems,,2023-10-29T11:34:30Z,2023-10-29T11:34:31Z,2024-02-15T02:22:24Z,103,0,0,0,0,False,False,main,,https://github.com/henryzhan013/Competitive-Programming
leetcode-solutions,henryzhan013/leetcode-solutions,My solutions to leetcode problems,Python,2026-01-24T23:46:59Z,2026-02-10T15:00:19Z,2026-02-10T14:59:57Z,6,0,0,0,0,False,False,main,,https://github.com/henryzhan013/leetcode-solutions
nfl-bdb-2024,henryzhan013/nfl-bdb-2024,,Jupyter Notebook,2025-08-19T15:18:46Z,2025-08-20T13:33:53Z,2025-08-20T13:33:49Z,2715,0,0,0,0,False,False,main,,https://github.com/henryzhan013/nfl-bdb-2024
polars,henryzhan013/polars,"Extremely fast Query Engine for DataFrames, written in Rust",Rust,2026-01-24T18:00:56Z,2026-02-05T16:33:26Z,2026-02-05T16:33:19Z,146658,0,0,0,0,True,False,main,,https://github.com/henryzhan013/polars
questions,henryzhan013/questions,,,2025-08-20T13:42:34Z,2025-08-20T13:42:34Z,2025-08-20T16:11:57Z,179,0,0,0,0,True,False,main,,https://github.com/henryzhan013/questions
roadtrip-planner,henryzhan013/roadtrip-planner,,Python,2026-01-27T19:29:06Z,2026-02-09T23:13:25Z,2026-02-09T23:13:22Z,319,0,0,0,0,False,False,main,,https://github.com/henryzhan013/roadtrip-planner
roadtripplanner,henryzhan013/roadtripplanner,,Python,2026-02-06T22:07:35Z,2026-02-06T22:08:04Z,2026-02-06T22:07:45Z,271,0,0,0,0,False,False,main,,https://github.com/henryzhan013/roadtripplanner
